_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,africa_region,age_range,americas_region,asia_region,europe_region,gender,general_geographic_region,have_you_entered_your_demographics_information,highest_education_achieved,how_against_vaccinations_is_this_tweet,how_based_on_emotions_are_the_statements_made_in_this_tweet,how_based_on_facts_are_the_statements_made_in_this_tweet,how_much_do_you_trust_the_government_of_the_country_you_reside_in,how_negative_is_the_sentiment_of_this_text,how_positive_is_the_sentiment_of_this_text,how_pro_vaccinations_is_this_tweet,is_this_tweet_relevant_to_the_subject_of_vaccinations,oceania_region,what_is_your_own_stance_on_vaccinations,africa_region_gold,age_range_gold,americas_region_gold,asia_region_gold,europe_region_gold,gender_gold,general_geographic_region_gold,have_you_entered_your_demographics_information_gold,highest_education_achieved_gold,how_against_vaccinations_is_this_tweet_gold,how_based_on_emotions_are_the_statements_made_in_this_tweet_gold,how_based_on_facts_are_the_statements_made_in_this_tweet_gold,how_much_do_you_trust_the_government_of_the_country_you_reside_in_gold,how_negative_is_the_sentiment_of_this_text_gold,how_positive_is_the_sentiment_of_this_text_gold,how_pro_vaccinations_is_this_tweet_gold,is_this_tweet_relevant_to_the_subject_of_vaccinations_gold,oceania_region_gold,text,what_is_your_own_stance_on_vaccinations_gold
2325534406,6/9/2019 13:25:30,false,4883694973,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,5,4,2,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Depopulation programme by elites is in progress: laboratory engineered Ebola and HIV viruses, tested on unsuspecting African as vaccine!!!!",
2325534406,6/9/2019 14:23:24,false,4883792154,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,yes,,5,2,1,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Depopulation programme by elites is in progress: laboratory engineered Ebola and HIV viruses, tested on unsuspecting African as vaccine!!!!",
2325534406,6/10/2019 22:30:15,false,4886812240,,6/10/2019 22:27:49,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"Depopulation programme by elites is in progress: laboratory engineered Ebola and HIV viruses, tested on unsuspecting African as vaccine!!!!",
2325534406,6/11/2019 13:43:46,false,4888085461,,6/11/2019 13:41:24,false,cf_internal,1.0,45316032,NLD,11,Delft,145.94.127.141,,,,,,,,yes,,4,5,2,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Depopulation programme by elites is in progress: laboratory engineered Ebola and HIV viruses, tested on unsuspecting African as vaccine!!!!",
2325534406,6/11/2019 17:55:29,false,4888617965,,6/11/2019 17:50:34,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,5,5,2,,5,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Depopulation programme by elites is in progress: laboratory engineered Ebola and HIV viruses, tested on unsuspecting African as vaccine!!!!",
2325534407,6/9/2019 13:25:30,false,4883694975,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,4,,1,3,3,yes,,,,,,,,,,,,,,,,,,,,,"A disease that has terrified #parrot breeders for decades has been identified as new to science: #AvianBornavirus
This discovery will allow scientists to find the source, to control its spread, develop a vaccine and to find a cure
- @GrrlScientist",
2325534407,6/9/2019 14:23:24,false,4883792153,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,18-24,,Eastern Asia,,Male,Asia,no,"Bachelor's Degree (e.g. BA, BS)",1,1,1,Mostly Trust,1,4,4,yes,,Mostly Pro,,,,,,,,,,,,,,,,,,,"A disease that has terrified #parrot breeders for decades has been identified as new to science: #AvianBornavirus
This discovery will allow scientists to find the source, to control its spread, develop a vaccine and to find a cure
- @GrrlScientist",
2325534407,6/10/2019 14:34:00,false,4886017959,,6/10/2019 14:32:44,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"A disease that has terrified #parrot breeders for decades has been identified as new to science: #AvianBornavirus
This discovery will allow scientists to find the source, to control its spread, develop a vaccine and to find a cure
- @GrrlScientist",
2325534407,6/10/2019 22:27:47,false,4886808581,,6/10/2019 22:25:34,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"A disease that has terrified #parrot breeders for decades has been identified as new to science: #AvianBornavirus
This discovery will allow scientists to find the source, to control its spread, develop a vaccine and to find a cure
- @GrrlScientist",
2325534407,6/11/2019 17:48:56,false,4888604884,,6/11/2019 17:47:33,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"A disease that has terrified #parrot breeders for decades has been identified as new to science: #AvianBornavirus
This discovery will allow scientists to find the source, to control its spread, develop a vaccine and to find a cure
- @GrrlScientist",
